Train.Red Export for,Session at 2025-05-06 2:15 p.m.,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor 1,Train.Red FYER,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor DataType,expertV13,,,,,,,,,,
Sensor ID,Train.Red FYER 0673,,,,,,,,,,
Mac Address,,,,,,,,,,,
Firmware Version,,,,,,,,,,,
Sensor Position,legRightUpperFront,,,,,,,,,,
2101.94,1,,67.74,36.66,1,0,,73.31,39.44,1,0
2102.03,1,,66.23,36.08,1,0,,71.01,39.13,1,0
2102.31,1,,67.22,37,1,0,,72.93,39.51,1,0
2102.31,1,,67.22,37,1,0,,72.77,39.38,1,0
2102.33,1,,67.22,37,1,0,,72.89,39.42,1,0
2102.54,1,,67.92,37.35,1,0,,72.77,39.82,1,0
2102.54,1,,67.92,37.35,1,0,,72.77,39.24,1,0
2102.63,1,,67.92,37.35,1,0,,72.49,39.15,1,0
2102.85,1,,67.47,37.67,1,0,,72.6,39.13,1,0
2102.85,1,,67.47,37.67,1,0,,73.61,39.22,1,0
2103.59,1,,67.5,37.82,1,0,,72.76,38.86,1,0
2103.59,1,,67.5,37.82,1,0,,73.87,39.01,1,0
2103.59,1,,67.5,37.82,1,0,,73.87,39.01,1,0
2103.59,1,,67.5,37.82,1,0,,73.87,39.01,1,0
2103.59,1,,67.5,37.82,1,0,,73.33,39.29,1,0
2103.59,1,,67.5,37.82,1,0,,73.33,39.29,1,0
2103.59,1,,67.5,37.82,1,0,,72.98,39.44,1,0
2103.62,1,,67.5,37.82,1,0,,73.11,39.51,1,0
2104.36,1,,68.15,37.74,1,0,,73.01,39.48,1,0
2104.36,1,,68.15,37.74,1,0,,73.5,39.56,1,0
2104.36,1,,68.15,37.74,1,0,,73.3,39.76,1,0
2104.36,1,,68.15,37.74,1,0,,73.01,39.7,1,0
2104.36,1,,68.15,37.74,1,0,,73.5,39.48,1,0
2104.36,1,,68.15,37.74,1,0,,73.5,39.48,1,0
2104.36,1,,68.15,37.74,1,0,,74.58,39.09,1,0
2104.98,1,,68,37.07,1,0,,73.11,39.4,1,0
2104.98,1,,68,37.07,1,0,,73.11,39.4,1,0
2105.03,1,,68.47,36.39,1,0,,72.98,39.34,1,0
2105.03,1,,68.47,36.39,1,0,,71.44,39.43,1,0
2105.03,1,,68.47,36.39,1,0,,73.14,39.14,1,0
2105.04,1,,68.47,36.39,1,0,,73.21,39.14,1,0
2105.04,1,,68.47,36.39,1,0,,73.03,39.23,1,0
2105.15,1,,67.48,36.7,1,0,,73.26,39.24,1,0
2105.21,1,,67.46,36.59,1,0,,72.44,39.06,0,1
2105.3,1,,67.46,36.59,1,0,,71.68,38.53,0,1
2105.55,1,,68.07,36.3,1,0,,72.27,38.9,0,1
2105.55,1,,68.07,36.3,1,0,,72.78,39,0,1
2105.6,1,,68.07,36.3,1,0,,72.96,39.09,0,1
2105.81,1,,68.23,35.91,1,0,,71.58,39.42,0,1
2105.81,1,,68.23,35.91,1,0,,72.68,38.88,0,1
2105.96,1,,68.23,35.91,1,0,,72.96,38.85,0,1
2106.08,1,,67.86,35.87,1,0,,72.92,38.87,0,1
2106.11,1,,68.03,35.75,1,0,,72.44,38.96,0,1
2106.2,1,,68.48,35.53,1,0,,72.78,38.98,0,1
2106.29,1,,68.48,35.53,1,0,,72.78,38.32,0,1
2106.53,1,,67.59,35.39,1,0,,73.01,38.72,0,1
2106.53,1,,67.59,35.39,1,0,,71.28,38.43,0,1
2106.59,1,,67.59,35.39,1,0,,71.62,38.51,0,1
2106.71,1,,67.8,35.3,1,0,,71.19,39.13,0,1
2106.8,1,,67.63,34.97,1,0,,72.23,38.43,0,1
2106.92,1,,67.63,34.97,1,0,,70.76,38.42,0,1
2107.13,1,,67.53,35.09,1,0,,72.27,38.33,0,1
2107.14,1,,67.53,35.09,1,0,,71.47,38.48,0,1
2107.2,1,,67.53,35.09,1,0,,71.67,38.61,0,1
2107.31,1,,66.76,34.77,1,0,,69.46,38.03,0,1
2107.41,1,,66.76,34.77,1,0,,71.51,38.52,0,1
2107.61,1,,67.8,34.5,1,0,,71.76,38.47,0,1
2107.62,1,,67.8,34.5,1,0,,71.96,38.37,0,1
2107.7,1,,67.66,34.64,1,0,,71.12,38.92,0,1
2107.79,1,,67.18,34.43,1,0,,71.43,38.29,0,1
2107.88,1,,67.18,34.43,1,0,,70.08,38.19,0,1
2108.12,1,,67.77,34.51,1,0,,71.41,38.02,0,1
2108.13,1,,67.77,34.51,1,0,,72.03,37.92,0,1
2108.3,1,,66.88,34.68,1,0,,71.73,37.54,1,0
2108.3,1,,66.88,34.68,1,0,,72.59,37.81,1,0
2108.39,1,,67.22,34.89,1,0,,72.14,38.52,1,0
2108.48,1,,67.22,34.89,1,0,,71.94,38.56,1,0
2108.6,1,,67.5,34.98,1,0,,71.94,38.58,1,0
2108.69,1,,67.5,34.98,1,0,,72.25,38.69,1,0
2108.78,1,,67.98,35.5,1,0,,72.05,38.82,1,0
2108.87,1,,67.98,35.5,1,0,,72.43,38.97,1,0
2109.78,1,,67.45,35.67,1,0,,73.09,38.95,1,0
2109.78,1,,67.45,35.67,1,0,,73.09,38.95,1,0
2109.79,1,,67.45,35.67,1,0,,71.82,38.89,1,0
2109.79,1,,67.45,35.67,1,0,,71.87,38.77,1,0
2109.79,1,,67.45,35.67,1,0,,71.97,38.82,1,0
2109.79,1,,67.45,35.67,1,0,,71.97,38.82,1,0
2109.79,1,,67.45,35.67,1,0,,70.26,38.48,1,0
2109.79,1,,67.45,35.67,1,0,,70.26,38.48,1,0
2109.79,1,,67.45,35.67,1,0,,71.62,38.93,1,0
2109.86,1,,67.45,35.67,1,0,,71.73,38.96,1,0
2110.07,1,,67.45,35.67,1,0,,72.81,39.47,1,0
2110.07,1,,67.45,35.67,1,0,,72.77,39.06,1,0
2110.22,1,,67.82,35.85,1,0,,72.11,39.1,1,0
2110.28,1,,67.82,35.85,1,0,,72.28,39.03,1,0
2110.37,1,,67.83,35.91,1,0,,71.8,39,1,0
2110.46,1,,67.83,35.91,1,0,,71.56,39.05,1,0
2110.56,1,,67.95,36.02,1,0,,72.23,38.61,1,0
2110.67,1,,68.05,36.06,1,0,,72.17,39.21,1,0
2110.88,1,,67.45,35.98,1,0,,71.91,39.26,1,0
2110.88,1,,67.45,35.98,1,0,,72.3,39.14,1,0
